round_id,client_id,Tcmp_sec,Ttx_sec,Ttot_sec,round_deadline_sec
1,C19,0.000049,5811661.787662,5811661.787711,5811661.787711
1,C69,0.000059,534669.899555,534669.899614,5811661.787711
1,C05,0.000085,1913.976110,1913.976195,5811661.787711
1,C47,0.000102,1164091.481908,1164091.482010,5811661.787711
1,C74,0.000019,47645.775030,47645.775050,5811661.787711
1,C70,0.000048,292.863898,292.863945,5811661.787711
1,C18,0.000065,2012.733087,2012.733152,5811661.787711
1,C55,0.000024,4043.770566,4043.770590,5811661.787711
1,C16,0.000123,232090.971762,232090.971885,5811661.787711
